Modelo,MAE_log,RMSE_log,R2_log,MAE_pesos,MedAE_pesos,RMSE_pesos,R2_pesos
Regresión única,2.9279939573967275,3.541253247460929,0.21593141982747865,20672073.622351374,2649653.613749998,67822621.02924225,0.022563495144694357
Arquitectura jerárquica,3.4397271408312498,4.679010182604162,-0.3688254140472458,24534714.68043665,6356900.700928418,62916523.044193365,0.15885891803422791
