segmento_real,clientes,monto_real_mediano,monto_predicho_mediano,MAE,MedAE
Bajo,11016,3216.3599999999997,206086.25,843492.4552861827,200459.9428125
Medio,11016,297851.0650000001,408671.1875,1978091.7243314935,617846.3168750007
Alto,11016,7534140.474999994,831489.59375,6978613.306962279,5696698.578125005
Muy Alto,11016,45332709.17999997,3100907.125,73512980.2884308,39388546.42000002
