perfil_inversion,Clientes,Monto_minimo,Monto_mediano,Monto_promedio,Monto_maximo,Monto_total
Inversión mayor,138293,274338.97,11145956.4,36077613.23601462,5250000000.0,4989281367248.17
Inversión menor,82159,0.0,8262.44,36511.29102167748,274212.27,2999731159.05
