Modelo,MAE_log,RMSE_log,R2_log,MAE_pesos,MedAE_pesos,RMSE_pesos,R2_pesos,Tiempo_segundos
XGBoost,2.9279939573967275,3.541253247460929,0.21593141982747865,20672073.622351374,2649653.613749998,67822621.02924225,0.022563495144694357,2.7599923610687256
Random Forest,2.953756965155664,3.549684130404063,0.21219361355316757,20892484.27723757,2636130.4277249537,69372954.80921747,-0.02263299742657865,7.663347959518433
Arbol,2.969833657019765,3.6058725875615907,0.1870556197441411,20769300.12170506,2751451.8259026166,68474924.45880248,0.0036715309775101623,1.8370106220245361
Ridge,3.0719635710142006,3.645526381552,0.16907740242953417,134031751.68067151,2650774.538745117,19311939636.021385,-79247.5284978978,0.7726669311523438
